"","lat","long","accuracy","formatted_address","address_type","status","index"
"163",42.3252871,1.6055202,"locality","25722 Cava, Lleida, Spain","locality,political","OK",162
"164",-36.055556,146.4625,"locality","Rutherglen VIC 3685, Australia","locality,political","OK",163
"165",50.1891679,8.1104164,"administrative_area_level_3","Rheingau-Taunus-Kreis, Germany","administrative_area_level_3,political","OK",164
"166",-34.5333333,138.95,"establishment","Barossa Valley, Tanunda SA 5352, Australia","establishment,natural_feature","OK",165
"167",48.1172148,21.4089015,"locality","Tokaj, 3910 Hungary","locality,political","OK",166
"168",46.9447821,4.7539203,"establishment","10 place du Pasquier de la Fontaine, 21190 Puligny-Montrachet, France","establishment,food,lodging,point_of_interest,restaurant","OK",167
"169",-36.916667,144.7,"locality","Heathcote VIC 3523, Australia","locality,political","OK",168
"170",47.1748181,4.955179,"establishment","Rue de la Montagne, 21640 Vougeot, France","establishment,point_of_interest","OK",169
"171",46.937992,4.729561,"locality","21190 Chassagne-Montrachet, France","locality,political","OK",170
"172",NA,NA,NA,NA,NA,"ZERO_RESULTS",171
"173",-33.8335699,138.61,"establishment","Clare Valley, Clare SA 5453, Australia","establishment,natural_feature","OK",172
"174",45.5721253,11.9053548,"route","Via dei Custoza, 35010 Santa Giustina in Colle PD, Italy","route","OK",173
"175",41.9067218,12.4914869,"route","Via Friuli, 00187 Roma RM, Italy","route","OK",174
"176",45.4544384,11.2358335,"administrative_area_level_3","37038 Soave, VR, Italy","administrative_area_level_3,political","OK",175
"177",NA,NA,NA,NA,NA,"ZERO_RESULTS",176
"178",37.1235743,25.238722,"locality","Naousa 844 01, Greece","locality,political","OK",177
"179",32.0956281,-116.572572,"locality","Guadalupe, Baja California, Mexico","locality,political","OK",178
"180",41.9172395,12.5057822,"route","Piazza Trento, 00198 Roma RM, Italy","route","OK",179
"181",45.3222482,11.2748095,"route","Via Valle, 37041 Albaredo D'adige VR, Italy","route","OK",180
"182",38.4591012,-122.4225638,"locality","Rutherford, CA, USA","locality,political","OK",181
"183",-33.4871761,-70.6871443,"route","Central, Pedro Aguirre Cerda, Región Metropolitana, Chile","route","OK",182
"184",-33.3918702,-70.6543208,"route","Lontué, Recoleta, Región Metropolitana, Chile","route","OK",183
"185",35.2103449,-80.856324,"establishment","310 East Blvd Suite 4, Charlotte, NC 28203, USA","establishment,point_of_interest,travel_agency","OK",184
"186",45.877286,12.034054,"establishment","Via Rovede, 27, 31012 Vidor TV, Italy","establishment,food,point_of_interest","OK",185
"187",45.8973493,11.9906944,"establishment","Via G. Garibaldi, 147, 31049 Valdobbiadene TV, Italy","establishment,food,point_of_interest","OK",186
"188",44.820387,-0.5996032,"route","Passage des Graves, 33000 Bordeaux, France","route","OK",187
"189",46.0366351,-118.4042902,"route","Valley St, Walla Walla, WA 99362, USA","route","OK",188
"190",48.3845561,16.5149128,"locality","2120 Wolkersdorf, Austria","locality,political","OK",189
"191",40.7127753,-74.0059728,"locality","New York, NY, USA","locality,political","OK",190
"192",NA,NA,NA,NA,NA,"ZERO_RESULTS",191
"193",40.9713215,-72.6261244,"neighborhood","North Fork, Northville, NY 11901, USA","neighborhood,political","OK",192
"194",46.7593986,-119.6824892,"route","Wahluke Rd SW, Mattawa, WA 99349, USA","route","OK",193
"195",NA,NA,NA,NA,NA,"ZERO_RESULTS",194
"196",46.3285409,-120.0082522,"establishment","905 Yakima Valley Hwy, Sunnyside, WA 98944, USA","establishment,food,point_of_interest,restaurant","OK",195
"197",48.0024759,16.2480941,"establishment","Leesdorfer Hauptstraße 35, 2500 Baden, Austria","establishment,point_of_interest,school","OK",196
"198",44.6880915,8.8037472,"locality","15066 Gavi AL, Italy","locality,political","OK",197
"199",NA,NA,NA,NA,NA,"ZERO_RESULTS",198
"200",48.108077,15.8049558,"administrative_area_level_1","Lower Austria, Austria","administrative_area_level_1,political","OK",199
"201",40.789142,-73.134961,"establishment","Long Island, New York, USA","establishment,natural_feature","OK",200
"202",48.4333333,15.8,"establishment","Wagram, 3481, Austria","establishment,natural_feature","OK",201
"203",NA,NA,NA,NA,NA,"ZERO_RESULTS",202
"204",45.5883797,10.0795033,"locality","25050 Paderno Franciacorta BS, Italy","locality,political","OK",203
"205",46.978225,4.768746,"locality","21190 Meursault, France","locality,political","OK",204
"206",43.2549988,-79.0772616,"locality","Niagara-on-the-Lake, ON, Canada","locality,political","OK",205
"207",38.2554723,-122.3349422,"establishment","4048 Sonoma Hwy, Napa, CA 94559, USA","establishment,food,health,lodging,point_of_interest,restaurant,spa","OK",206
"208",45.3494774,-123.0733977,"route","NE Ribbon Ridge Rd, Newberg, OR 97132, USA","route","OK",207
"209",45.5042434,10.9343997,"establishment","Via Casette, 4, 37024 Arbizzano-Santa Maria VR, Italy","establishment,food,point_of_interest","OK",208
"210",47.185496,4.952888,"locality","21220 Chambolle-Musigny, France","locality,political","OK",209
"211",44.8206164,-0.6004558,"route","Chemin Pomerol, 33000 Bordeaux, France","route","OK",210
"212",40.1208752,9.0128926,"establishment","Sardinia, Italy","establishment,natural_feature","OK",211
"213",46.2979123,-119.4408562,"establishment","Red Mountain, Washington 99320, USA","establishment,natural_feature","OK",212
"214",NA,NA,NA,NA,NA,"ZERO_RESULTS",213
"215",34.635,-120.3152777,"establishment","Santa Rita Hills, California 93436, USA","establishment,natural_feature","OK",214
"216",NA,NA,NA,NA,NA,"ZERO_RESULTS",215
"217",NA,NA,NA,NA,NA,"ZERO_RESULTS",216
"218",38.7426376,-120.4357631,"administrative_area_level_2","El Dorado County, CA, USA","administrative_area_level_2,political","OK",217
"219",38.2672144,-122.1130027,"route","Suisun Valley Rd, Fairfield, CA 94534, USA","route","OK",218
"220",43.9351691,6.0679194,"administrative_area_level_1","Provence-Alpes-Côte d'Azur, France","administrative_area_level_1,political","OK",219
"221",38.1341477,-121.2722194,"locality","Lodi, CA, USA","locality,political","OK",220
"222",NA,NA,NA,NA,NA,"ZERO_RESULTS",221
"223",41.8965046,12.5543803,"route","Viale della Venezia Giulia, 00177 Roma RM, Italy","route","OK",222
"224",46.6020711,-120.5058987,"locality","Yakima, WA, USA","locality,political","OK",223
"225",36.3136201,-121.3541631,"administrative_area_level_2","Monterey County, CA, USA","administrative_area_level_2,political","OK",224
"226",38.4274315,-122.3943299,"colloquial_area","Napa Valley, CA, USA","colloquial_area,political","OK",225
"227",46.833678,4.721637,"locality","71640 Mercurey, France","locality,political","OK",226
"228",38.1960477,-120.6805037,"administrative_area_level_2","Calaveras County, CA, USA","administrative_area_level_2,political","OK",227
"229",45.3762277,-123.037326,"establishment","Chehalem Mountains, Oregon 97123, USA","establishment,natural_feature","OK",228
"230",46.1331878,-119.8678139,"establishment","Horse Heaven Hills, Washington 99350, USA","establishment,natural_feature","OK",229
"231",43.216505,-123.3417381,"locality","Roseburg, OR, USA","locality,political","OK",230
"232",46.6480894,11.5842165,"establishment","Leitach Coste, 50, 39043 Chiusa BZ, Italy","establishment,food,point_of_interest","OK",231
"233",34.6354195,-120.1479918,"route","Ballard Canyon Rd, Solvang, CA 93463, USA","route","OK",232
"234",38.2529705,-122.1621917,"locality","Green Valley, CA 94534, USA","locality,political","OK",233
"235",43.599649,5.458553,"establishment","195 Route de Couteron, 13100 Aix-en-Provence, France","establishment,food,point_of_interest","OK",234
"236",43.5319728,5.6127511,"establishment","Montagne Sainte-Victoire, 13126 Vauvenargues, France","establishment,natural_feature","OK",235
"237",38.2692123,-119.574224,"establishment","Sierra Nevada, California, USA","establishment,natural_feature","OK",236
"238",38.7646021,-121.9017954,"administrative_area_level_2","Yolo County, CA, USA","administrative_area_level_2,political","OK",237
"239",44.684189,8.0049344,"establishment","Corso Barolo, 14, 12051 Alba CN, Italy","establishment,food,point_of_interest","OK",238
"240",44.8764951,-0.5735608,"establishment","10 Rue René Cassin, 33049 Bordeaux, France","establishment,point_of_interest","OK",239
"241",43.84982,4.3929627,"route","Chemin du Rhône, 30000 Nîmes, France","route","OK",240
"242",44.837789,-0.57918,"locality","Bordeaux, France","locality,political","OK",241
"243",47.7510741,-120.7401385,"administrative_area_level_1","Washington, USA","administrative_area_level_1,political","OK",242
"244",47.4523058,-120.822886,"establishment","Columbia River","establishment,natural_feature","OK",243
"245",48.5102792,15.4535824,"establishment","Kamp, Austria","establishment,natural_feature","OK",244
"246",47.3593442,14.4699827,"administrative_area_level_1","Styria, Austria","administrative_area_level_1,political","OK",245
"247",47.1540485,14.7383207,"locality","8741 Weißkirchen in der Steiermark, Austria","locality,political","OK",246
"248",47.23037,1.551791,"route","Rhône, 36600 Fontguenand, France","route","OK",247
"249",35.240117,24.8092691,"administrative_area_level_1","Crete Region, Greece","administrative_area_level_1,political","OK",248
"250",38.35833,-122.33389,"locality","Oak Knoll, CA 94558, USA","locality,political","OK",249
"251",42.4401246,-122.9261546,"establishment","Rogue Valley, Oregon 97502, USA","establishment,natural_feature","OK",250
"252",38.291859,-122.4580356,"locality","Sonoma, CA 95476, USA","locality,political","OK",251
"253",41.33392,-8.031015,"establishment","4890 Codeçoso, Portugal","establishment,food,point_of_interest","OK",252
"254",45.45273,11.2549,"establishment","via Centro,14, Fittà, 37038 Soave VR, Italy","establishment,food,point_of_interest","OK",253
"255",45.915836,12.166491,"establishment","Piazza Liberta', 7, 31053 Pieve di Soligo TV, Italy","establishment,point_of_interest","OK",254
"256",45.0522366,7.5153885,"administrative_area_level_1","Piedmont, Italy","administrative_area_level_1,political","OK",255
"257",44.0682019,-114.7420408,"administrative_area_level_1","Idaho, USA","administrative_area_level_1,political","OK",256
"258",44.0682019,-114.7420408,"administrative_area_level_1","Idaho, USA","administrative_area_level_1,political","OK",257
"259",NA,NA,NA,NA,NA,"ZERO_RESULTS",258
"260",-37.6586558,145.3739369,"establishment","19 Bell St, Yarra Glen VIC 3775, Australia","establishment,lodging,point_of_interest","OK",259
"261",-33.2920093,117.3196083,"route","Great Southern Hwy, Wagin WA 6315, Australia","route","OK",260
"262",38.1145286,-121.5741027,"establishment","Mokelumne River, California, USA","establishment,natural_feature","OK",261
"263",34.4333856,-119.8545716,"route","Los Carneros Road, Goleta, CA 93117, USA","route","OK",262
"264",38.3689984,-122.4120862,"route","Mt Veeder Rd, Napa, CA 94558, USA","route","OK",263
"265",NA,NA,NA,NA,NA,"ZERO_RESULTS",264
"266",39.4765073,-0.3974631,"establishment","Carrer de Góngora, 1, 46015 València, Valencia, Spain","establishment,food,point_of_interest,restaurant","OK",265
"267",43.2750634,11.98512,"locality","52044 Cortona, Province of Arezzo, Italy","locality,political","OK",266
"268",45.0522366,7.5153885,"administrative_area_level_1","Piedmont, Italy","administrative_area_level_1,political","OK",267
"269",44.0839717,10.3934847,"route","Via Centrale, 55020 Sassi LU, Italy","route","OK",268
"270",37.680208,-121.7918985,"establishment","Livermore Valley, Livermore, CA 94551, USA","establishment,natural_feature","OK",269
"271",-41.2190932,175.4600651,"locality","Martinborough, New Zealand","locality,political","OK",270
"272",-44.9566315,169.3988451,"colloquial_area","Central Otago, New Zealand","colloquial_area,political","OK",271
"273",-33.591622,-69.025249,"establishment","Tunuyán, Mendoza Province, Argentina","establishment,local_government_office,point_of_interest","OK",272
"274",38.7222524,-9.1393366,"locality","Lisbon, Portugal","locality,political","OK",273
"275",46.3068839,4.828731,"locality","71000 Mâcon, France","locality,political","OK",274
"276",31.9685988,-99.9018131,"administrative_area_level_1","Texas, USA","administrative_area_level_1,political","OK",275
"277",46.771428,4.696703,"route","Rue de la Côté Chalonnaise, 71640 Jambles, France","route","OK",276
"278",47.048887,4.86904,"locality","21200 Chorey-les-Beaune, France","locality,political","OK",277
"279",NA,NA,NA,NA,NA,"ZERO_RESULTS",278
"280",38.4874361,-8.9043629,"neighborhood","Tróia Peninsula, Portugal","neighborhood,political","OK",279
