"","country","description","designation","points","price","province","region_1","region_2","taster_name","taster_twitter_handle","title","variety","winery","address","lat","long","description2"
"11","US","Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box.","",87,34,"California","Alexander Valley","Sonoma","Virginie Boone","@vboone","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Cabernet Sauvignon","Louis M. Martini","Alexander Valley, California, US",38.6129647,-122.7694345,"Slightly reduced, this wine offers a chalky, tannic backbone to an otherwise juicy explosion of rich black cherry, the whole accented throughout by firm oak and cigar box. Cabernet Sauvignon US California Alexander Valley Louis M. Martini"
"12","US","Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive.","",87,12,"California","Central Coast","Central Coast","Matt Kettmann","@mattkettmann","Mirassou 2012 Chardonnay (Central Coast)","Chardonnay","Mirassou","Central Coast, California, US",36.691415,-119.4691728,"Building on 150 years and six generations of winemaking tradition, the winery trends toward a leaner style, with the classic California buttercream aroma cut by tart green apple. In this good everyday sipping wine, flavors that range from pear to barely ripe pineapple prove approachable but not distinctive. Chardonnay US California Central Coast Mirassou"
"13","Germany","Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal.","Devon",87,24,"Mosel","","","Anna Lee C. Iijima","","Richard Böcking 2013 Devon Riesling (Mosel)","Riesling","Richard Böcking",", Mosel, Germany",49.1169679,6.7399173,"Zesty orange peels and apple notes abound in this sprightly, mineral-toned Riesling. Off dry on the palate, yet racy and lean, it's a refreshing, easy quaffer with wide appeal. Riesling Germany Mosel  Richard Böcking"
"14","Argentina","Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance.","Felix",87,30,"Other","Cafayate","","Michael Schachner","@wineschach","Felix Lavaque 2010 Felix Malbec (Cafayate)","Malbec","Felix Lavaque","Cafayate, Other, Argentina",-26.0834638,-65.9756201,"Baked plum, molasses, balsamic vinegar and cheesy oak aromas feed into a palate that's braced by a bolt of acidity. A compact set of saucy red-berry and plum flavors features tobacco and peppery accents, while the finish is mildly green in flavor, with respectable weight and balance. Malbec Argentina Other Cafayate Felix Lavaque"
"15","Argentina","Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot.","Winemaker Selection",87,13,"Mendoza Province","Mendoza","","Michael Schachner","@wineschach","Gaucho Andino 2011 Winemaker Selection Malbec (Mendoza)","Malbec","Gaucho Andino","Mendoza, Mendoza Province, Argentina",-32.8894587,-68.8458386,"Raw black-cherry aromas are direct and simple but good. This has a juicy feel that thickens over time, with oak character and extract becoming more apparent. A flavor profile driven by dark-berry fruits and smoldering oak finishes meaty but hot. Malbec Argentina Mendoza Province Mendoza Gaucho Andino"
"16","Spain","Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish.","Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza",87,28,"Northern Spain","Ribera del Duero","","Michael Schachner","@wineschach","Pradorey 2010 Vendimia Seleccionada Finca Valdelayegua Single Vineyard Crianza  (Ribera del Duero)","Tempranillo Blend","Pradorey","Ribera del Duero, Northern Spain, Spain",41.5120194,-5.4922548,"Desiccated blackberry, leather, charred wood and mint aromas carry the nose on this full-bodied, tannic, heavily oaked Tinto Fino. Flavors of clove and woodspice sit on top of blackberry fruit, then hickory and other forceful oak-based aromas rise up and dominate the finish. Tempranillo Blend Spain Northern Spain Ribera del Duero Pradorey"
"17","US","Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed.","",87,32,"Virginia","Virginia","","Alexander Peartree","","Quiévremont 2012 Meritage (Virginia)","Meritage","Quiévremont","Virginia, Virginia, US",37.4315734,-78.6568942,"Red fruit aromas pervade on the nose, with cigar box and menthol notes riding in the back. The palate is slightly restrained on entry, but opens up to riper notes of cherry and plum specked with crushed pepper. This blend of Merlot, Cabernet Sauvignon and Cabernet Franc is approachable now and ready to be enjoyed. Meritage US Virginia Virginia Quiévremont"
"18","US","Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity.","Vin de Maison",87,23,"Virginia","Virginia","","Alexander Peartree","","Quiévremont 2012 Vin de Maison Red (Virginia)","Red Blend","Quiévremont","Virginia, Virginia, US",37.4315734,-78.6568942,"Ripe aromas of dark berries mingle with ample notes of black pepper, toasted vanilla and dusty tobacco. The palate is oak-driven in nature, but notes of tart red currant shine through, offering a bit of levity. Red Blend US Virginia Virginia Quiévremont"
"19","US","A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated.","",87,20,"Oregon","Oregon","Oregon Other","Paul Gregutt","@paulgwine ","Acrobat 2013 Pinot Noir (Oregon)","Pinot Noir","Acrobat","Oregon, Oregon, US",43.8041334,-120.5542012,"A sleek mix of tart berry, stem and herb, along with a hint of oak and chocolate, this is a fair value in a widely available, drink-now Oregon Pinot. The wine oak-aged for six months, whether in neutral or re-staved is not indicated. Pinot Noir US Oregon Oregon Acrobat"
"20","Italy","Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity.","Ficiligno",87,19,"Sicily & Sardinia","Sicilia","","Kerin O’Keefe","@kerinokeefe","Baglio di Pianetto 2007 Ficiligno White (Sicilia)","White Blend","Baglio di Pianetto","Sicilia, Sicily & Sardinia, Italy",37.5999938,14.0153557,"Delicate aromas recall white flower and citrus. The palate offers passion fruit, lime and white peach with a hint of mineral alongside bright acidity. White Blend Italy Sicily & Sardinia Sicilia Baglio di Pianetto"
"21","US","This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice.","Signature Selection",87,22,"California","Paso Robles","Central Coast","Matt Kettmann","@mattkettmann","Bianchi 2011 Signature Selection Merlot (Paso Robles)","Merlot","Bianchi","Paso Robles, California, US",35.6368759,-120.6545022,"This wine from the Geneseo district offers aromas of sour plums and just enough cigar box to tempt the nose. The flavors are a bit flat at first, then the acidity and tension of sour cherries emerges in the midpalate, bolstered by some black licorice. Merlot US California Paso Robles Bianchi"
"22","Italy","Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework.","Aynat",87,35,"Sicily & Sardinia","Sicilia","","Kerin O’Keefe","@kerinokeefe","Canicattì 2009 Aynat Nero d'Avola (Sicilia)","Nero d'Avola","Canicattì","Sicilia, Sicily & Sardinia, Italy",37.5999938,14.0153557,"Aromas of prune, blackcurrant, toast and oak carry through to the extracted palate, along with flavors of black cherry and roasted coffee beans. Firm but drying tannins provide the framework. Nero d'Avola Italy Sicily & Sardinia Sicilia Canicattì"
"23","US","Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture.","King Ridge Vineyard",87,69,"California","Sonoma Coast","Sonoma","Virginie Boone","@vboone","Castello di Amorosa 2011 King Ridge Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","Castello di Amorosa","Sonoma Coast, California, US",38.291859,-122.4580356,"Oak and earth intermingle around robust aromas of wet forest floor in this vineyard-designated Pinot that hails from a high-elevation site. Small in production, it offers intense, full-bodied raspberry and blackberry steeped in smoky spice and smooth texture. Pinot Noir US California Sonoma Coast Castello di Amorosa"
"24","Italy","Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins.","Mascaria Barricato",87,17,"Sicily & Sardinia","Cerasuolo di Vittoria","","Kerin O’Keefe","@kerinokeefe","Terre di Giurfo 2011 Mascaria Barricato  (Cerasuolo di Vittoria)","Red Blend","Terre di Giurfo","Cerasuolo di Vittoria, Sicily & Sardinia, Italy",36.9728095,14.5516064,"Aromas suggest mature berry, scorched earth, animal, toast and anise. The palate offers ripe black berry, oak, espresso, cocoa and vanilla alongside dusty tannins. Red Blend Italy Sicily & Sardinia Cerasuolo di Vittoria Terre di Giurfo"
"25","US","Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold.","",86,16,"California","Clarksburg","Central Valley","Virginie Boone","@vboone","Clarksburg Wine Company 2010 Chenin Blanc (Clarksburg)","Chenin Blanc","Clarksburg Wine Company","Clarksburg, California, US",38.4198403,-121.5294026,"Clarksburg is becoming a haven for Chenin Blanc in California. This bottling, using fruit sourced from several vineyards in the area, is balanced with just a trace of sweetness in the background (1% residual sugar). This is crisp, straightforward and blessed with notes of pear and lime. Drink it cold. Chenin Blanc US California Clarksburg Clarksburg Wine Company"
"26","US","Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon.","Puma Springs Vineyard",86,50,"California","Dry Creek Valley","Sonoma","","","Envolve 2010 Puma Springs Vineyard Red (Dry Creek Valley)","Red Blend","Envolve","Dry Creek Valley, California, US",33.7555087,-117.7524061,"Rustic and dry, this has flavors of berries, currants, licorice and spices. Made from Cabernet Franc and Cabernet Sauvignon. Red Blend US California Dry Creek Valley Envolve"
"27","US","This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity.","",86,20,"California","Sonoma Valley","Sonoma","","","Envolve 2011 Sauvignon Blanc (Sonoma Valley)","Sauvignon Blanc","Envolve","Sonoma Valley, California, US",38.5779555,-122.9888319,"This shows a tart, green gooseberry flavor that is similar to New Zealand Sauvignon Blanc. Other notes include tropical fruit, orange and honey. Unoaked, with a splash of Muscat, this has commendable dryness and acidity. Sauvignon Blanc US California Sonoma Valley Envolve"
"28","US","As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes.","Hyland",86,50,"Oregon","McMinnville","Willamette Valley","Paul Gregutt","@paulgwine ","Erath 2010 Hyland Pinot Noir (McMinnville)","Pinot Noir","Erath","McMinnville, Oregon, US",45.2101162,-123.1987163,"As with many of the Erath 2010 vineyard designates, this is strongly herbal. The notes of leaf and herb create somewhat unripe flavor impressions, with a touch of bitterness on the finish. The fruit just passes the ripeness of sweet tomatoes. Pinot Noir US Oregon McMinnville Erath"
"29","Chile","White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend.","Estate",86,15,"Colchagua Valley","","","Michael Schachner","@wineschach","Estampa 2011 Estate Viognier-Chardonnay (Colchagua Valley)","Viognier-Chardonnay","Estampa",", Colchagua Valley, Chile",-33.3842305,-70.6696712,"White flower, lychee and apple aromas carry the mellow bouquet. The chunky-feeling palate bears powdery, sweet flavors of peach and melon, mixed with greener notes of grass and lime. The 80% Viognier component is typical of the warm climate: plump and oily, with a short finish. Chardonnay fills out the blend. Viognier-Chardonnay Chile Colchagua Valley  Estampa"
"30","Italy","This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel.","Missoni",86,21,"Sicily & Sardinia","Sicilia","","","","Feudi del Pisciotto 2010 Missoni Cabernet Sauvignon (Sicilia)","Cabernet Sauvignon","Feudi del Pisciotto","Sicilia, Sicily & Sardinia, Italy",37.5999938,14.0153557,"This concentrated Cabernet offers aromas of cured meat, dried fruit and rosemary. Barbecue spice and teriyaki sauce flavors give the wine a bold, chewy feel. Cabernet Sauvignon Italy Sicily & Sardinia Sicilia Feudi del Pisciotto"
"31","Italy","Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth.","I Tratturi",86,11,"Southern Italy","Puglia","","","","Feudi di San Marzano 2011 I Tratturi Primitivo (Puglia)","Primitivo","Feudi di San Marzano","Puglia, Southern Italy, Italy",40.7928393,17.1011931,"Inky in color, this wine has plump aromas of ripe fruit, blackberry jam and rum cake. On the palate, it is soft and smooth. Primitivo Italy Southern Italy Puglia Feudi di San Marzano"
"32","Italy","Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish.","Purato Made With Organic Grapes",86,12,"Sicily & Sardinia","Sicilia","","","","Feudo di Santa Tresa 2011 Purato Made With Organic Grapes Nero d'Avola (Sicilia)","Nero d'Avola","Feudo di Santa Tresa","Sicilia, Sicily & Sardinia, Italy",37.5999938,14.0153557,"Part of the natural wine movement, this wine is made from organic grapes, and the label is printed with vegetable ink on recycled paper. The quality of fruit is very nice, with a juicy palate and a bright berry flavor on the finish. Nero d'Avola Italy Sicily & Sardinia Sicilia Feudo di Santa Tresa"
"33","Italy","Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches.","",86,17,"Sicily & Sardinia","Sicilia","","","","Feudo Montoni 2011 Catarratto (Sicilia)","Catarratto","Feudo Montoni","Sicilia, Sicily & Sardinia, Italy",37.5999938,14.0153557,"Catarratto is one of Sicily's most widely farmed white grape varieties. This expression shows a mineral note, backed by citrus and almond blossom touches. Catarratto Italy Sicily & Sardinia Sicilia Feudo Montoni"
"34","US","A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins.","",86,22,"Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","@paulgwine ","Hawkins Cellars 2009 Pinot Noir (Willamette Valley)","Pinot Noir","Hawkins Cellars","Willamette Valley, Oregon, US",44.942554,-122.9337615,"A stiff, tannic wine, this slowly opens and brings brambly berry flavors into play, along with notes of earthy herbs. There's a touch of bitterness to the tannins. Pinot Noir US Oregon Willamette Valley Hawkins Cellars"
"35","France","This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor.","Nouveau",86,9,"Beaujolais","Beaujolais","","Roger Voss","@vossroger","Henry Fessy 2012 Nouveau  (Beaujolais)","Gamay","Henry Fessy","Beaujolais, Beaujolais, France",46.118725,4.615449,"This is a festive wine, with soft, ripe fruit and acidity, plus a red berry flavor. Gamay France Beaujolais Beaujolais Henry Fessy"
"36","US","The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections.","",86,14,"California","Paso Robles","Central Coast","","","Robert Hall 2011 Sauvignon Blanc (Paso Robles)","Sauvignon Blanc","Robert Hall","Paso Robles, California, US",35.6368759,-120.6545022,"The clean, brisk mouthfeel gives this slightly oaked Sauvignon Blanc instant likeability. It's dry with a rich streak of honey that sweetens the citrus, pear and tropical fruit flavors. Pair this with Asian fare, ham or a green salad with grapefruit sections. Sauvignon Blanc US California Paso Robles Robert Hall"
"37","Chile","A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish.","",86,9,"Maule Valley","","","Michael Schachner","@wineschach","Sundance 2011 Merlot (Maule Valley)","Merlot","Sundance",", Maule Valley, Chile",-33.4662012,-70.638005,"A berry aroma comes with cola and herb notes. The palate is tangy and racy, and it delivers raspberry and plum flavors, with a modest finish. Merlot Chile Maule Valley  Sundance"
"38","US","Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage.","#SocialSecret",86,40,"Virginia","Virginia","","","","Tarara 2010 #SocialSecret Red (Virginia)","Red Blend","Tarara","Virginia, Virginia, US",37.4315734,-78.6568942,"Right out of the starting blocks this is an oaky wine, dripping with caramel and vanilla notes. The texture on the midpalate is finessed and graceful, with drying tannins that latch onto the oak-driven finish. An eccentric blend of 50% Tannat, 35% Petit Verdot and 15% Pinotage. Red Blend US Virginia Virginia Tarara"
"39","Italy","Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance.","Sallier de la Tour",86,13,"Sicily & Sardinia","Sicilia","","","","Tasca d'Almerita 2011 Sallier de la Tour Inzolia (Sicilia)","Inzolia","Tasca d'Almerita","Sicilia, Sicily & Sardinia, Italy",37.5999938,14.0153557,"Spicy, fresh and clean, this would pair with fried seafood or spaghetti con vongole. It offers pretty citrus tones followed by a drying mineral nuance. Inzolia Italy Sicily & Sardinia Sicilia Tasca d'Almerita"
"40","US","This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity.","",86,13,"California","Lake County","","","","The White Knight 2011 Riesling (Lake County)","Riesling","The White Knight","Lake County, California, US",39.0839644,-122.8084496,"This is a sweet wine with flavors of white sugar, orange, honey and vanilla, all brightened by crisp acidity. Riesling US California Lake County The White Knight"
"41","US","This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken.","",86,16,"Virginia","Monticello","","","","Trump 2011 Sauvignon Blanc (Monticello)","Sauvignon Blanc","Trump","Monticello, Virginia, US",38.0086043,-78.4531994,"This bottling resembles the New Zealand paradigm of Sauvignon Blanc, bearing aromas of grapefruit, passion fruit and kiwi; a sprinkling of graham cracker adds interest. The wine hits the palate like a fleshy fist, with an intense, grassy gooseberry flavor that provides plenty of punch. Pair with apricot-glazed roasted chicken. Sauvignon Blanc US Virginia Monticello Trump"
"42","France","Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine.","Eté Indien",86,14,"Beaujolais","Brouilly","","Roger Voss","@vossroger","Vignerons de Bel Air 2011 Eté Indien  (Brouilly)","Gamay","Vignerons de Bel Air","Brouilly, Beaujolais, France",46.105356,4.647113,"Soft and fruity, this is a generous, ripe wine that's full of juicy red-cherry fruits and gentle tannins. It has some richness, giving a sweet character to this open, ready-to-drink wine. Gamay France Beaujolais Brouilly Vignerons de Bel Air"
"43","Chile","This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel.","Gran Reserva",85,22,"Colchagua Valley","","","Michael Schachner","@wineschach","Casa Silva 2008 Gran Reserva Petit Verdot (Colchagua Valley)","Petit Verdot","Casa Silva",", Colchagua Valley, Chile",-33.3842305,-70.6696712,"This is much different than Casa Silva's 2009 Petit Verdot, which was tasted in the same flight. The '08 is more hard, spicy and tarry, with a leafy, herbal aroma, plus some grittiness. The palate feels snappy, with a can't-miss saltiness. The finish is long in length but short on fruit, with a raw feel. Petit Verdot Chile Colchagua Valley  Casa Silva"
"44","France","Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months.","La Fleur d'Amélie",85,15,"Bordeaux","Bordeaux Blanc","","Roger Voss","@vossroger","Château de Sours 2011 La Fleur d'Amélie  (Bordeaux Blanc)","Bordeaux-style White Blend","Château de Sours","Bordeaux Blanc, Bordeaux, France",44.8907958,-0.503366,"Fruity and lightly herbaceous, this has fine textured acidity along with a pink grapefruit flavor. The wine is bright and easy, and it will be ready to drink in a few months. Bordeaux-style White Blend France Bordeaux Bordeaux Blanc Château de Sours"
"45","US","This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes.","Estate Bottled",85,30,"California","Napa Valley","Napa","","","RustRidge 2010 Estate Bottled Chardonnay (Napa Valley)","Chardonnay","RustRidge","Napa Valley, California, US",38.5024689,-122.2653887,"This shows jelly-like flavors of orange and pear, with some earthy tones. The mouthfeel is soft and there's a bounty of oak in the form of buttered toast and caramel notes. Chardonnay US California Napa Valley RustRidge"
"46","US","This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes.","",85,14,"California","North Coast","North Coast","Virginie Boone","@vboone","Souverain 2010 Chardonnay (North Coast)","Chardonnay","Souverain","North Coast, California, US",38.0192523,-122.8631254,"This is weighty, creamy and medium to full in body. It has plenty of lime and pear flavors, plus slight brown sugar and vanilla notes. Chardonnay US California North Coast Souverain"
